ID|name|x|y
147|Ann Wiggins Brown House|-8531753.813347425|4765491.859620057
148|Kresge Building|-8529055.97465015|4763496.047811262
149|Sellers Mansion|-8531020.1121036|4764469.540210471
150|Latrobe Pavilion|-8531227.670586545|4767623.319547959
151|Council Grove Pavilion|-8532632.351660516|4767995.158981316
152|Conservatory|-8532167.008591611|4767411.74237892
153|Chinese Pavilion|-8531810.81280313|4767173.698484808
154|Apostolic Faith Church of God|-8532570.545802644|4766265.321341708
155|Archway over Madison St Entrance|-8531569.782620996|4766925.5054984465
156|Mansion House|-8532316.237301992|4768111.1904464215
157|Boat House|-8532375.374259163|4767799.372791782
158|Chess & Checkers Pavilion|-8531737.82092673|4767272.589497283
159|Octagonal Pavilion|-8531933.85695495|4768409.282045744
160|Unnamed Pavilion #1|-8532617.601140654|4767686.368026301
161|Unnamed Pavilion #2|-8532440.647133118|4767926.142208777
162|Unnamed Pavilion #4|-8531795.934051566|4767758.746059321
163|Unnamed Pavilion #5|-8531545.940729583|4767638.963131838
164|Unnamed Pavilion #3|-8532327.76575812|4768180.732757196
165|President Street Station|-8527346.175077371|4762432.323878773
166|Waverly Town Hall|-8528154.427466942|4768512.419023432
167|Franklin-Delphey Hotel|-8529307.439727264|4764045.23876977
168|Grand Masonic Temple|-8528733.066783836|4763554.722796842
169|Mayfair Theater|-8529328.171144934|4764070.229071341
170|Hansa Haus|-8528710.97374903|4763146.237118326
171|Grace Turnbull House|-8528369.967541987|4769529.6303172335
172|St. Peter the Apostle Church Complex|-8530681.801875327|4763038.588652663
173|St. Peter the Apostle Church Complex|-8530599.811833654|4763043.067891747
174|St. Peter the Apostle Church Complex|-8530605.060378961|4763014.566630073
175|St. Peter the Apostle Church Complex|-8530573.225632478|4763015.640426122
176|Crimea House, Chapel and Stables|-8538232.919112962|4765785.3691286
177|Crimea House, Chapel and Stables|-8538308.584431373|4765501.89079538
178|Greenmount Cemetary Chapel and Gates|-8528015.818427477|4765745.83390528
179|Greenmount Cemetary Chapel and Gates|-8527905.96048826|4765775.2207321
180|Old Dunbar High School, PS 133|-8526826.824662209|4764295.798287481
181|Carroll Mansion Complex|-8527574.3861934|4763102.354792759
182|Peabody Institute|-8528764.988300743|4764307.597066738
183|Patterson Park Observatory|-8525253.113976574|4763295.002521709
184|Shelley House|-8530717.013447404|4769807.510424063
185|Ambassador Theatre|-8537629.935506672|4769259.6800172925
186|Abell Building|-8529374.135947647|4763154.4103647545
187|Appold-Faust Building|-8529286.745781373|4763157.044766575
188|Baltimore Equitable Society|-8529381.603270417|4763335.156097494
189|Equitable Building|-8528471.649168495|4763329.7126991
190|Old Town National Bank|-8527981.607744347|4763715.147298254
191|St. Alphonsus School|-8529033.432456631|4763701.456983812
192|Terminal Warehouse Building|-8528350.037603775|4763788.717853725
193|Turnbull Building|-8529300.185423313|4763157.850820772
194|St. Mark's Evangelical Lutheran Church (Public Interior)|-8528770.552522283|4766478.788533151
195|Senator Theatre (Public Interior)|-8528212.392854769|4773869.355840452
196|Historic Frederick Douglass High School|-8531785.8354385|4765851.84735702
197|Frederick Douglass High School # 450|-8533194.788351955|4766868.4843264595
198|Florence Crittenton Home|-8530474.446683232|4768450.651667342
199|Trinity A.M.E. Church|-8525674.316758746|4765732.058681227
200|Union Mill (Historic Druid Mill)|-8531623.90676115|4769430.176324926
201|C.J. Youse Building|-8528193.091035414|4763632.737890698
202|Brinks Building|-8528190.810471745|4763607.017898418
203|Canton Methodist Episcopal Church|-8524057.343979908|4762022.932043023
